title,price,condition,category,description,seller_info,shipping,link,image_url,scrape_time
Vintage Distressed Runner Rug 2x6ft Hallway Low Pile Non-Shedding Rug Light Gray,$26.67,Brand New,N/A,Vintage Distressed Runner Rug 2x6ft Hallway Low Pile Non-Shedding Rug Light Gray - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256843963605?itmmeta=01JP02KCQEKKFVVVR9DCNVXZVG&hash=item3bcd17dcd5:g:Vm8AAeSwkmZnyCdG,https://i.ebayimg.com/images/g/Vm8AAeSwkmZnyCdG/s-l140.webp,2025-03-10 21:06:12
Non-Slip Geometric Area Rug 6x9 ft Washable Stain Resistant Rug for Living Room,$67.15,Brand New,N/A,Non-Slip Geometric Area Rug 6x9 ft Washable Stain Resistant Rug for Living Room - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256843957347?itmmeta=01JP02KCQESJBE6MS3VAM73PRF&hash=item3bcd17c463:g:N2kAAeSwWAhnyCY1,https://i.ebayimg.com/images/g/N2kAAeSwWAhnyCY1/s-l140.webp,2025-03-10 21:06:12
Non Slip Bath Rug 2x6 ft Modern Geometric Non-Shedding Hallway Runner Rugs Gray,$26.67,Brand New,N/A,Non Slip Bath Rug 2x6 ft Modern Geometric Non-Shedding Hallway Runner Rugs Gray - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256843943969?itmmeta=01JP02KCQE38ZR5TTD1ZVC94S5&hash=item3bcd179021:g:f~kAAeSwuLdnyCKL,https://i.ebayimg.com/images/g/f~kAAeSwuLdnyCKL/s-l140.webp,2025-03-10 21:06:12
Runner Rug 2x7 ft Modern Geometric Non Shedding Low Pile For Room Kitchen Taupe,$27.59,Brand New,N/A,Runner Rug 2x7 ft Modern Geometric Non Shedding Low Pile For Room Kitchen Taupe - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256843925019?itmmeta=01JP02KCQE239KRFR9RH5CDKJG&hash=item3bcd17461b:g:gM8AAeSwec5nyB0-,https://i.ebayimg.com/images/g/gM8AAeSwec5nyB0-/s-l140.webp,2025-03-10 21:06:12
Low Pile Runner Rug 2x7 ft Geometric Textured Weave Rug for Living Room Entryway,$27.59,Brand New,N/A,Low Pile Runner Rug 2x7 ft Geometric Textured Weave Rug for Living Room Entryway - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256843916376?itmmeta=01JP02KCQEBHFBXE8T5YDJPCMV&hash=item3bcd172458:g:TqQAAeSwGXRnyBrN,https://i.ebayimg.com/images/g/TqQAAeSwGXRnyBrN/s-l140.webp,2025-03-10 21:06:12
Artificial Olive Tree Plant 5ft 6ft 7ft Tall Potted Tree Plant for Home Indoor,$45.99 to $58.87,Brand New,Home,Artificial Olive Tree Plant 5ft 6ft 7ft Tall Potted Tree Plant for Home Indoor - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256842531525?itmmeta=01JP02KCQEM0R3BP8JMXX9G5RE&hash=item3bcd0202c5:g:JNMAAeSwv-Znxtjr,https://i.ebayimg.com/images/g/JNMAAeSwv-Znxtjr/s-l140.webp,2025-03-10 21:06:12
Artificial Indoor Tree Plants 39 inch Faux Fiddle Leaf Fig Tree Faux Plant Decor,$44.15,Brand New,N/A,Artificial Indoor Tree Plants 39 inch Faux Fiddle Leaf Fig Tree Faux Plant Decor - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256842498609?itmmeta=01JP02KCQEVVVTJRYEZ72254EB&hash=item3bcd018231:g:-00AAOSwbXVnxtXj,https://i.ebayimg.com/images/g/-00AAOSwbXVnxtXj/s-l140.webp,2025-03-10 21:06:12
Washable Area Rugs 5x7ft Rug for Living Room Geometric Non-Slip Area Rug Blue,$49.99,Brand New,N/A,Washable Area Rugs 5x7ft Rug for Living Room Geometric Non-Slip Area Rug Blue - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256842485275?itmmeta=01JP02KCQE8ME1WAGHQ641E0X2&hash=item3bcd014e1b:g:sQkAAeSwVZxnxsu1,https://i.ebayimg.com/images/g/sQkAAeSwVZxnxsu1/s-l140.webp,2025-03-10 21:06:12
Outdoor Rug 4x6ft Waterproof Rug Geometric Weave Floor Carpet Non-Shedding Taupe,$50.99,Brand New,N/A,Outdoor Rug 4x6ft Waterproof Rug Geometric Weave Floor Carpet Non-Shedding Taupe - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256842477994?itmmeta=01JP02KCQE5CCBTM2PGK1YEKXJ&hash=item3bcd0131aa:g:Wb8AAeSwiO1nxskf,https://i.ebayimg.com/images/g/Wb8AAeSwiO1nxskf/s-l140.webp,2025-03-10 21:06:12
Geometric Weave Runner Rug 2x7ft Indoor/Outdoor Waterproof Rug Non Shedding,$27.99,Brand New,N/A,Geometric Weave Runner Rug 2x7ft Indoor/Outdoor Waterproof Rug Non Shedding - Brand New,"yingniao02 (3,471) 98.3%",Free delivery,https://www.ebay.com/itm/256842469925?itmmeta=01JP02KCQE5RCDDW43MFZA28R5&hash=item3bcd011225:g:TjkAAeSwInlnxsXN,https://i.ebayimg.com/images/g/TjkAAeSwInlnxsXN/s-l140.webp,2025-03-10 21:06:12
